,lat,long,trip_count
564,40.7793,-73.9507,18
565,40.7608,-73.9612,13
566,40.7466,-73.994,15
567,40.6435,-73.7901,17
568,40.7624,-73.966,17
569,40.6455,-73.7768,55
570,40.7363,-73.9789,17
571,40.721,-74.0099,17
572,40.7796,-73.9556,17
573,40.7563,-73.9903,32
574,40.7863,-73.9723,15
575,40.7736,-73.9599,37
576,40.7789,-73.9778,14
577,40.7738,-73.9639,16
578,40.7371,-73.9886,16
579,40.7751,-73.9538,16
580,40.7425,-73.9805,18
581,40.7564,-73.9902,28
582,40.7316,-74.0011,25
583,40.7556,-73.9911,16
584,40.7339,-73.9807,25
585,40.7233,-74.008,16
586,40.7788,-73.956,18
587,40.7445,-73.9284,24
588,40.657,-73.7943,26
589,40.7151,-74.016,19
590,40.781,-73.9814,25
591,40.7751,-73.9631,14
592,40.7509,-73.9907,23
593,40.7776,-73.9569,17
594,40.7509,-73.9908,29
595,40.7304,-74.0068,20
596,40.7299,-73.9914,13
597,40.7642,-73.9731,19
598,40.7849,-73.9558,13
599,40.7523,-73.9753,26
600,40.743,-74.0001,15
601,40.7796,-73.9535,17
602,40.8043,-73.9667,14
603,40.7743,-73.8728,21
604,40.7342,-73.9991,14
605,40.7152,-74.016,13
606,40.7715,-73.9593,13
607,40.75,-73.9935,17
608,40.7605,-74.0028,101
609,40.7479,-74.004,14
610,40.7497,-73.9913,27
611,40.7568,-73.9898,17
612,40.7843,-73.9774,15
613,40.6449,-73.7812,15
614,40.7683,-73.9825,23
615,40.7506,-73.9909,14
616,40.7752,-73.9477,13
617,40.751,-73.9943,54
618,40.7668,-73.967,13
619,40.7248,-73.9955,14
620,40.7829,-73.9554,25
621,40.756,-73.9749,15
622,40.7675,-73.9686,14
623,40.7726,-73.9822,13
624,40.7544,-73.9689,19
625,40.765,-73.9725,17
626,40.7409,-74.0076,56
627,40.7584,-73.9707,13
628,40.7734,-73.96,15
629,40.7698,-73.8636,80
630,40.7644,-73.9772,13
631,40.7275,-74.0073,14
632,40.7716,-73.9593,19
633,40.772,-73.956,15
634,40.7151,-74.0161,15
635,40.7707,-73.957,17
636,40.7719,-73.9561,13
637,40.7797,-73.9557,19
638,40.7808,-73.9588,17
639,40.7265,-73.9861,26
640,40.7648,-73.9686,19
641,40.6417,-73.7882,17
642,40.645,-73.7769,21
643,40.7698,-73.8631,17
644,40.7637,-73.9733,18
645,40.7632,-73.9738,19
646,40.7801,-73.9551,17
647,40.7289,-73.9843,13
648,40.7222,-73.9888,19
649,40.742,-73.9747,34
650,40.7508,-73.9907,16
651,40.7397,-74.0024,17
