,lat,long,taxi_type,trip_count
369,40.7645,-73.9729,y,27
370,40.7404,-74.0057,y,27
371,40.7742,-73.8727,y,27
372,40.6468,-73.7897,y,27
373,40.7696,-73.8634,y,27
374,40.8371,-73.917,y,27
375,40.7497,-73.9913,y,27
376,40.75,-73.9912,y,27
377,40.7504,-73.9913,y,27
378,40.8406,-73.9403,g,26
379,40.7796,-73.9558,y,26
380,40.7374,-73.9967,y,26
381,40.7671,-73.9536,y,26
382,40.7403,-74.0059,y,26
383,40.7565,-73.9903,y,26
384,40.7695,-73.8637,y,26
385,40.767,-73.9537,y,26
386,40.7744,-73.9635,y,26
387,40.733,-74.0,y,26
388,40.7523,-73.9753,y,26
389,40.756,-73.9909,y,26
390,40.7938,-73.9669,y,26
391,40.7568,-73.99,y,26
392,40.7397,-73.9764,y,26
393,40.7738,-73.9598,y,26
394,40.7626,-73.9679,y,26
395,40.74,-73.9948,y,26
396,40.7503,-73.9945,y,26
397,40.7402,-73.9948,y,26
398,40.7822,-73.9717,y,26
399,40.7544,-73.9658,y,26
400,40.657,-73.7943,y,26
401,40.6468,-73.79,y,26
402,40.774,-73.8735,y,26
403,40.7641,-73.9542,y,26
404,40.743,-73.9927,y,26
405,40.7346,-73.9909,y,26
406,40.7522,-73.9782,y,26
407,40.776,-73.9762,y,26
408,40.7522,-73.9754,y,26
409,40.7794,-73.9555,y,26
410,40.7265,-73.9861,y,26
411,40.7334,-74.0063,y,26
412,40.7221,-73.9972,y,26
413,40.7269,-73.9915,y,26
414,40.7419,-74.0046,y,26
415,40.7466,-73.8915,g,25
416,40.8052,-73.9391,g,25
417,40.8052,-73.9392,g,25
418,40.8051,-73.9391,g,25
419,40.7137,-73.8302,g,25
420,40.7218,-73.958,g,25
421,40.7504,-73.9914,y,25
422,40.6448,-73.7821,y,25
423,40.781,-73.9814,y,25
424,40.7736,-73.871,y,25
425,40.7368,-73.9888,y,25
426,40.8035,-73.9358,y,25
427,40.7552,-73.9735,y,25
428,40.7503,-73.9916,y,25
429,40.7829,-73.9554,y,25
430,40.7509,-73.9942,y,25
431,40.7209,-74.0099,y,25
432,40.746,-73.9942,y,25
433,40.7406,-74.0056,y,25
434,40.7679,-73.962,y,25
435,40.757,-73.9898,y,25
436,40.6469,-73.7896,y,25
437,40.7486,-73.9887,y,25
438,40.7974,-73.9767,y,25
439,40.7369,-73.9887,y,25
440,40.7372,-73.9885,y,25
441,40.6486,-73.7833,y,25
442,40.7339,-73.9807,y,25
443,40.7234,-73.9883,y,25
444,40.7113,-74.016,y,25
445,40.7635,-73.9592,y,25
446,40.7694,-73.9519,y,25
447,40.7316,-74.0011,y,25
448,40.7773,-73.9789,y,25
449,40.767,-73.9566,y,25
450,40.733,-73.9999,y,25
451,40.769,-73.8626,y,25
452,40.7699,-73.9515,y,25
453,40.6486,-73.7837,y,25
454,40.7561,-73.9902,y,25
455,40.6449,-73.7813,y,25
456,40.7405,-74.0057,y,25
457,40.7343,-73.9991,y,25
458,40.7469,-73.8911,g,24
459,40.7445,-73.9284,y,24
460,40.7497,-73.9911,y,24
461,40.7523,-73.9779,y,24
462,40.7741,-73.8727,y,24
463,40.7764,-73.9759,y,24
464,40.7373,-73.997,y,24
465,40.731,-74.0015,y,24
466,40.7821,-73.972,y,24
467,40.647,-73.79,y,24
468,40.7567,-73.9901,y,24
469,40.7498,-73.9912,y,24
470,40.7367,-73.9889,y,24
471,40.7571,-73.9899,y,24
472,40.769,-73.8629,y,24
473,40.784,-73.9546,y,24
474,40.7503,-73.9912,y,24
475,40.7423,-74.0043,y,24
476,40.6445,-73.7824,y,24
477,40.7332,-73.9998,y,24
478,40.77,-73.8639,y,24
479,40.7513,-73.9939,y,24
480,40.7349,-73.9986,y,24
481,40.7735,-73.96,y,24
482,40.7743,-73.873,y,24
483,40.782,-73.9538,y,24
484,40.7498,-73.9911,y,24
485,38.0411,-78.6214,y,24
486,40.7507,-73.9909,y,24
487,40.6436,-73.7898,y,24
488,40.7503,-73.9948,y,24
489,40.6438,-73.7898,y,24
490,40.6451,-73.7767,y,24
491,40.7378,-73.9882,y,24
492,40.7642,-73.9544,y,24
493,40.6445,-73.7826,y,24
494,40.7908,-73.9536,g,23
495,40.7465,-73.8908,g,23
496,40.6686,-73.9801,g,23
497,40.7398,-74.0024,y,23
498,40.7497,-73.9915,y,23
499,40.7407,-74.0055,y,23
500,40.7384,-73.9876,y,23
501,40.7627,-73.9678,y,23
502,40.7695,-73.8635,y,23
503,40.7511,-73.9905,y,23
504,40.741,-74.0076,y,23
505,40.7439,-73.9879,y,23
506,40.7793,-73.9556,y,23
507,40.7331,-73.9999,y,23
508,40.7569,-73.9901,y,23
509,40.7603,-74.0029,y,23
510,40.7496,-73.9879,y,23
511,40.7736,-73.96,y,23
512,40.7509,-73.9907,y,23
513,40.7569,-73.9898,y,23
514,40.744,-74.0068,y,23
515,40.7735,-73.9599,y,23
516,40.764,-73.9543,y,23
517,40.7639,-73.9733,y,23
518,40.7794,-73.9554,y,23
519,40.7824,-73.9715,y,23
520,40.774,-73.8736,y,23
521,40.7353,-73.9857,y,23
522,40.7607,-73.9612,y,23
523,40.7053,-74.0172,y,23
524,40.7739,-73.8736,y,23
525,40.647,-73.7895,y,23
526,40.7502,-73.9949,y,23
527,40.7496,-73.9914,y,23
528,40.7759,-73.9763,y,23
529,40.7405,-74.0019,y,23
530,40.7684,-73.9822,y,23
531,40.774,-73.8713,y,23
532,40.7399,-73.9951,y,23
533,40.7524,-73.9784,y,23
534,40.7398,-73.9951,y,23
535,40.7219,-73.9973,y,23
536,40.7561,-73.9909,y,23
537,40.7683,-73.9825,y,23
538,40.7424,-74.0043,y,23
539,40.7211,-74.01,y,23
540,40.7484,-73.9889,y,23
541,40.7372,-73.9969,y,23
542,40.7394,-73.987,y,23
543,40.7375,-73.9967,y,23
544,40.7497,-73.9914,y,23
545,40.7417,-73.9936,y,23
546,40.7402,-73.9949,y,23
547,40.7491,-73.9922,y,23
548,40.7025,-73.9869,g,22
549,40.7595,-73.8304,g,22
550,40.734,-73.8709,g,22
551,40.721,-73.8442,g,22
552,40.7638,-73.9734,y,22
553,40.7372,-73.997,y,22
554,40.7552,-73.9652,y,22
555,40.6449,-73.7771,y,22
556,40.7717,-73.9593,y,22
557,40.7318,-74.001,y,22
558,40.751,-74.0056,y,22
559,40.7797,-73.9556,y,22
560,40.7612,-73.9753,y,22
561,40.7442,-74.0066,y,22
562,40.7809,-73.9813,y,22
563,40.7629,-73.9678,y,22
564,40.7227,-73.9886,y,22
565,40.7684,-73.9683,y,22
566,40.7502,-73.9911,y,22
567,40.7792,-73.9623,y,22
568,40.7629,-73.9677,y,22
569,40.7524,-73.9783,y,22
570,40.7338,-74.0063,y,22
571,40.7382,-73.9879,y,22
572,40.7497,-73.9918,y,22
573,40.7603,-73.9697,y,22
574,40.7739,-73.8732,y,22
575,40.7684,-73.9823,y,22
576,40.7743,-73.9594,y,22
577,40.7359,-74.0059,y,22
578,40.7721,-73.9559,y,22
