,lat,long,trip_count
571,40.791,-73.9746,11
572,40.7668,-73.9628,11
573,40.7498,-73.9952,12
574,40.7825,-73.9486,11
575,40.7522,-73.9751,13
576,40.743,-73.9927,11
577,40.7375,-73.9967,18
578,40.7751,-73.9567,11
579,40.7649,-73.9662,18
580,40.7272,-73.9914,11
581,40.7831,-73.9529,13
582,40.7885,-73.9708,11
583,40.7678,-73.9621,27
584,40.766,-73.9977,17
585,40.804,-73.967,12
586,40.7356,-74.006,11
587,40.7503,-73.9912,33
588,40.7671,-73.9566,16
589,40.8043,-73.9556,11
590,40.7696,-73.9518,22
591,40.7736,-73.8706,27
592,40.7842,-73.9703,15
593,40.7819,-73.9756,15
594,40.6446,-73.7823,13
595,40.7522,-73.9781,19
596,40.7594,-73.9652,11
597,40.7553,-73.9652,21
598,40.8017,-73.9612,20
599,40.7517,-73.9765,11
600,40.7507,-73.9909,29
601,40.7498,-73.9919,11
602,40.7797,-73.9555,13
603,40.7309,-74.0068,11
604,40.7525,-73.978,23
605,40.756,-73.9771,19
606,40.7395,-74.0026,19
607,40.7344,-73.9835,17
608,40.7492,-73.992,14
609,40.7318,-73.9854,11
610,40.7338,-74.0063,15
611,40.7642,-73.9544,18
612,40.7724,-73.9587,15
613,40.7718,-73.9592,15
614,40.7503,-73.9918,13
615,40.7782,-73.9544,11
616,40.7473,-73.9813,17
617,40.7504,-73.9946,28
618,40.7394,-73.987,19
619,40.736,-73.9853,12
620,40.7795,-73.9446,19
621,40.7623,-73.9661,11
622,40.75,-73.9921,14
623,40.7667,-73.9628,17
624,40.7525,-73.9754,16
625,40.7662,-73.9571,11
626,40.7556,-73.9909,11
627,40.7498,-73.9914,26
628,40.7495,-73.992,11
629,40.781,-73.9496,18
630,40.7501,-73.9949,20
631,40.7224,-73.9971,22
632,40.7336,-74.0063,27
633,40.7699,-73.9608,14
634,40.7484,-74.006,11
635,40.7673,-73.9899,16
636,40.7856,-73.9692,12
637,40.7565,-73.99,12
638,40.8022,-73.968,14
639,40.7607,-73.9985,16
640,40.7667,-73.9792,11
641,40.735,-73.9986,11
642,40.7441,-73.9733,17
643,40.7482,-73.9784,11
644,40.7689,-73.982,11
645,40.7444,-73.9732,12
646,40.7662,-73.9977,15
647,40.7319,-73.9821,16
648,40.7567,-73.9978,12
649,40.745,-73.9787,11
650,40.7647,-73.9665,13
651,40.7717,-73.9613,12
652,40.7546,-73.9656,11
653,40.789,-73.9667,11
654,40.7725,-73.9466,21
655,40.7435,-73.9727,12
656,40.7361,-73.9937,13
657,40.7312,-73.9827,15
658,40.7796,-73.9445,11
659,40.7864,-73.9687,13
660,40.7501,-73.9911,16
661,40.7562,-73.9901,13
662,40.7569,-73.964,12
663,40.742,-73.9748,16
664,40.782,-73.9538,19
665,40.6459,-73.7768,16
666,40.7375,-73.984,11
667,40.7724,-73.965,14
668,40.7497,-73.991,13
669,40.7767,-73.9466,11
670,40.7865,-73.9528,14
671,40.7848,-73.956,12
672,40.7693,-73.9549,11
673,40.7487,-73.9887,15
674,40.7751,-73.9568,11
675,40.7329,-73.9874,11
676,40.7725,-73.9586,11
677,40.7496,-73.9911,12
678,40.7503,-73.9914,61
679,40.7348,-73.9861,11
680,40.7662,-73.9523,13
681,40.7682,-73.9823,12
682,40.7622,-73.9601,21
683,40.751,-73.9909,20
684,40.7661,-73.9977,16
685,40.7465,-73.9717,12
686,40.7551,-73.9652,14
687,40.7323,-74.0065,18
688,40.766,-73.9636,11
689,40.777,-73.9574,11
690,40.734,-73.9867,11
691,40.771,-73.9598,12
692,40.7561,-73.9901,21
693,40.7736,-73.96,16
694,40.7721,-73.956,13
695,40.6448,-73.7818,64
696,40.7667,-73.9631,13
697,40.7679,-73.9622,15
698,40.7497,-73.9917,15
699,40.7882,-73.9673,14
700,40.7159,-74.0154,13
701,40.7696,-73.9608,17
702,40.7512,-73.9939,25
703,40.7486,-73.9887,18
704,40.7683,-73.9823,17
705,40.771,-73.9641,12
706,40.7558,-73.9911,11
707,40.7453,-73.991,13
708,40.766,-73.9634,20
709,40.7015,-74.0123,20
710,40.7565,-73.9904,29
711,40.714,-74.0088,13
712,40.6454,-73.7766,23
713,40.7641,-73.9649,11
714,40.7564,-73.9903,25
715,40.769,-73.9612,32
716,40.751,-73.9939,20
717,40.715,-74.0161,15
718,40.7419,-73.9748,19
719,40.7171,-74.0144,13
720,40.7698,-73.8637,25
721,40.7777,-73.9548,16
722,40.7315,-73.9824,21
723,40.7678,-73.9558,11
724,40.7743,-73.9512,11
725,40.7235,-74.008,11
726,40.7604,-73.9614,20
727,40.753,-74.004,12
728,40.7571,-73.9901,21
729,40.7523,-73.9784,17
730,40.7735,-73.9459,13
731,40.7525,-73.9753,13
732,40.647,-73.7899,15
733,40.7763,-73.9602,11
734,40.645,-73.777,13
735,40.7667,-73.9629,11
736,40.7744,-73.9572,11
737,40.7569,-73.9901,29
738,40.7578,-73.9634,14
739,40.7472,-73.9792,14
740,40.7351,-74.0061,11
741,40.7757,-73.9504,11
742,40.7615,-73.9999,11
743,40.7361,-73.9936,13
744,40.7897,-73.9662,20
745,40.7711,-73.9597,13
746,40.7469,-73.9816,12
747,40.7702,-73.9514,11
748,40.7827,-73.9556,12
749,40.7836,-73.9477,12
750,40.7469,-73.9837,11
751,40.7502,-73.9919,14
752,40.7932,-73.9674,14
753,40.7685,-73.9616,15
754,40.7698,-73.9608,12
755,40.7622,-73.96,27
756,40.7567,-73.99,19
757,40.7561,-73.9903,28
758,40.7528,-73.975,11
759,40.7721,-73.9528,11
760,40.7696,-73.8636,27
761,40.7761,-73.9799,11
762,40.7492,-73.9924,14
763,40.7745,-73.9572,12
764,40.7335,-74.0074,15
765,40.7502,-73.9921,11
766,40.7738,-73.9517,20
767,40.7253,-73.9869,14
768,40.7697,-73.9808,14
769,40.7616,-73.9905,11
770,40.7628,-73.9679,11
771,40.7522,-73.9753,19
772,40.7731,-73.9582,17
773,40.7644,-73.9958,23
774,40.7562,-73.9904,36
775,40.7113,-74.0161,27
776,40.7741,-73.8732,47
777,40.7265,-73.986,11
778,40.7663,-73.9571,12
779,40.7481,-73.9735,11
780,40.751,-73.9908,16
781,40.777,-73.9554,16
782,40.7353,-74.006,12
783,40.775,-73.9567,11
784,40.7493,-74.0031,18
785,40.7334,-74.0063,17
786,40.7472,-73.9814,11
787,40.7412,-73.9814,11
788,40.7824,-73.9485,14
789,40.7524,-73.9754,16
790,40.7673,-73.9548,15
791,40.711,-74.0155,11
792,40.7699,-73.8635,25
793,40.7459,-73.9906,14
794,40.7444,-73.9792,11
795,40.747,-73.9899,13
796,40.7603,-74.0029,23
797,40.7484,-73.9889,15
798,40.7465,-73.9723,13
799,40.7794,-73.9554,13
800,40.7717,-73.9792,12
801,40.7506,-73.9947,16
802,40.75,-73.9912,32
803,40.7726,-73.9786,11
804,40.7772,-73.9552,12
805,40.7864,-73.9724,23
806,40.7371,-74.0053,12
807,40.7053,-74.0172,18
808,40.7621,-73.9602,18
809,40.7744,-73.9574,12
810,40.7522,-73.978,18
811,40.7317,-74.0067,11
812,40.7651,-73.9753,11
813,40.7569,-73.9899,24
814,40.756,-73.9729,11
815,40.7436,-73.9204,11
816,40.7796,-73.9557,19
817,40.7785,-73.9454,11
818,40.7665,-73.9783,23
819,40.7697,-73.9517,16
820,40.7526,-73.9934,11
821,40.7852,-73.9696,15
822,40.762,-73.9601,13
823,40.7249,-73.9955,14
824,40.784,-73.9546,19
825,40.7234,-74.008,15
826,40.7454,-73.9909,17
827,40.7712,-73.9506,12
828,40.737,-73.9887,13
829,40.7769,-73.9555,19
830,40.7506,-73.9789,11
831,40.7428,-73.9803,13
832,40.7314,-74.0067,15
833,40.7467,-73.9974,17
834,40.7633,-73.9594,13
835,40.7225,-73.9861,11
836,40.741,-73.9815,11
837,40.7527,-73.9783,11
838,40.7398,-74.0024,21
839,40.7863,-73.9529,13
840,40.7739,-73.8712,17
841,40.7873,-73.9562,11
842,40.6449,-73.7813,11
843,40.7367,-73.9786,12
844,40.7547,-73.9686,13
845,40.7689,-73.9613,17
846,40.7022,-74.0128,11
847,40.7712,-73.9595,13
848,40.7687,-73.982,11
849,40.7723,-73.9498,12
850,40.7566,-73.9903,14
851,40.7324,-74.0065,12
852,40.7446,-73.979,13
853,40.7417,-73.9938,17
854,40.7688,-73.982,11
855,40.7645,-73.9958,12
856,40.7484,-73.9803,11
857,40.7666,-73.9868,14
858,40.7434,-73.9841,12
859,40.7742,-73.8728,14
860,40.7697,-73.8632,11
861,40.7676,-73.9623,12
862,40.7603,-73.9614,17
863,40.7639,-73.965,15
864,40.7669,-73.9537,18
865,40.7735,-73.96,12
866,40.7465,-73.9722,15
867,40.7731,-73.9523,12
868,40.744,-73.9837,12
869,40.7507,-73.9945,13
870,40.734,-73.9866,11
871,40.7545,-73.9658,12
872,40.7271,-73.9857,12
873,40.7687,-73.8627,17
874,40.7435,-73.977,14
875,40.7622,-73.979,16
876,40.7505,-73.9945,14
877,40.7366,-73.9889,13
878,40.7112,-74.0159,20
879,40.7822,-73.9719,11
880,40.7525,-73.9783,19
881,40.7713,-73.9597,12
882,40.769,-73.9522,14
883,40.7187,-73.9881,12
884,40.7738,-73.964,12
885,40.7954,-73.9658,17
886,40.7654,-73.9662,11
887,40.7437,-73.9922,11
888,40.7341,-73.9951,13
889,40.7559,-73.9747,12
890,40.7506,-73.9908,11
891,40.7744,-73.9511,12
892,40.7867,-73.9721,12
893,40.7391,-73.9829,11
894,40.7492,-73.9916,16
895,40.7513,-73.9904,14
896,40.7345,-74.0061,12
897,40.7831,-73.9748,12
898,40.7171,-74.0145,13
899,40.7439,-73.9232,20
900,40.7111,-74.0161,11
